name,rating,number_of_photos,message,name_clean,name_length,rating_clean,rating_length,number_of_photos_clean,number_of_photos_length,message_clean,message_length
Haluana Higa,,32.0,"5 anos atrás Atendimento ótimo, local agradável e doces e o café sensacional.",haluana higa,12,nan,3,32.0,4,"5 anos atrás atendimento ótimo, local agradável e doces e o café sensacional.",77
Fabio,,66.0,"2 anos atrás Hoje pela manhã fui fazer uma retirada de um pedido que fiz. Era umas 9:30hrs do dia 14/12/22. A moça que estava junto a outra que trabalhava no caixa, estremamente grossa! Não volto mais nesta loja! Obs: não era a moça do Caixa!! 🙏2  /",fabio,5,nan,3,66.0,4,"2 anos atrás hoje pela manhã fui fazer uma retirada de um pedido que fiz. era umas 9:30hrs do dia 14/12/22. a moça que estava junto a outra que trabalhava no caixa, estremamente grossa! não volto mais nesta loja! obs: não era a moça do caixa!! 🙏2 /",248
Claudia Del Bel,,,"3 anos atrás Bom café, boa conversa com amigos. É um clima muito gostoso, mesas externas e bom atendimento. Eu só observaria que quando está cheio, não há funcionários suficientes. Ficamos esperando pelo menos 5 minutos de pé no caixa até que a atendente, muito gentil, terminasse de servir um sorvete. No meio de um dia de trabalho, esses 5 minutos fazem diferença.... 🙏1  /",claudia del bel,15,nan,3,nan,3,"3 anos atrás bom café, boa conversa com amigos. é um clima muito gostoso, mesas externas e bom atendimento. eu só observaria que quando está cheio, não há funcionários suficientes. ficamos esperando pelo menos 5 minutos de pé no caixa até que a atendente, muito gentil, terminasse de servir um sorvete. no meio de um dia de trabalho, esses 5 minutos fazem diferença.... 🙏1 /",374
Mauricio Y,4.0/5,2.0,"um ano atrás Das vezes que eu fui estava um pouco cheio e só uma atendente no balcão e outra no caixa, demorou um pouco para atender e pagar... Os flanelinhas da rua incomodam Comida: 4/5  /  Serviço: 4/5  /  Ambiente: 4/5  /",mauricio y,10,4.0/5,5,2.0,3,"um ano atrás das vezes que eu fui estava um pouco cheio e só uma atendente no balcão e outra no caixa, demorou um pouco para atender e pagar... os flanelinhas da rua incomodam comida: 4/5 / serviço: 4/5 / ambiente: 4/5 /",220
Sandra Ferreira,5.0/5,,"um ano atrás Para viagem  /  Jantar  /  R$ 100–120 O atendimento do Vinícius excepcional paciência e profissionalismo para vender cada item com excelência acabamos levando mais itens. Parabéns Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Coxa Creme, Tortinha de Morango, Panna Cotta e Empada de Palmito  /",sandra ferreira,15,5.0/5,5,nan,3,"um ano atrás para viagem / jantar / r$ 100–120 o atendimento do vinícius excepcional paciência e profissionalismo para vender cada item com excelência acabamos levando mais itens. parabéns comida: 5/5 / serviço: 5/5 / ambiente: 5/5 pratos recomendados coxa creme, tortinha de morango, panna cotta e empada de palmito /",318
Ricardo Ramos,,,"4 anos atrás Ruim. Chegamos eu e 3 amigos as 20:15. Pedimos. Quando nosso pedido chegou, fomos informados que a loja iria fechar, por causa do horário. O garçom ficou plantado, ao lado de nossa mesa, esperando que terminassem os nossos lanches, que haviam acabado de chegar. Se ia fechar em breve, por que não nos avisaram? Nunca mais volto ali. 🙏2  /",ricardo ramos,13,nan,3,nan,3,"4 anos atrás ruim. chegamos eu e 3 amigos as 20:15. pedimos. quando nosso pedido chegou, fomos informados que a loja iria fechar, por causa do horário. o garçom ficou plantado, ao lado de nossa mesa, esperando que terminassem os nossos lanches, que haviam acabado de chegar. se ia fechar em breve, por que não nos avisaram? nunca mais volto ali. 🙏2 /",350
Luana,,,"5 anos atrás Prestação de serviço completamente inadequada. Na quinta fiz a encomenda de um bolo para retirada no domingo as 11h30. Fui a loja na rua Caiubi no dia e horário agendados, porém quando cheguei não encontraram o meu pedido e não encontraram a minha encomenda na lista. A atendente conseguiu um bolo congelado que estava no ""estoque"" deles e me disse que até a hora de servir que seria após o almoco estaria adequado para consumo. No momento de servir eu não consegui pois o bolo ainda estava completamente congelado. Achei um grande descaso com o cliente. 🙏1",luana,5,nan,3,nan,3,"5 anos atrás prestação de serviço completamente inadequada. na quinta fiz a encomenda de um bolo para retirada no domingo as 11h30. fui a loja na rua caiubi no dia e horário agendados, porém quando cheguei não encontraram o meu pedido e não encontraram a minha encomenda na lista. a atendente conseguiu um bolo congelado que estava no ""estoque"" deles e me disse que até a hora de servir que seria após o almoco estaria adequado para consumo. no momento de servir eu não consegui pois o bolo ainda estava completamente congelado. achei um grande descaso com o cliente. 🙏1",570
Ricardo,,1404.0,"5 anos atrás Muito bem localizado, atendimento muito bom! Preços são aqueles que todos já conhecem (caro) mas custo benefício vale a pena. Sempre tem clientes seja manhã, tarde ou noite. se preferir ambiente climatizado pode ficar do lado de dentro, se não, fique do lado de fora. Único aspecto que me incomodou é que ficando do lado de fora, o assédio dos vendedores ambulantes não é controlado. Pretendo retornar. 🙏1",ricardo,7,nan,3,1404.0,6,"5 anos atrás muito bem localizado, atendimento muito bom! preços são aqueles que todos já conhecem (caro) mas custo benefício vale a pena. sempre tem clientes seja manhã, tarde ou noite. se preferir ambiente climatizado pode ficar do lado de dentro, se não, fique do lado de fora. único aspecto que me incomodou é que ficando do lado de fora, o assédio dos vendedores ambulantes não é controlado. pretendo retornar. 🙏1",418
Ana Claudia Sillos,,25.0,"5 anos atrás O pão de queijo é delicioso, com café ainda melhor!  /",ana claudia sillos,18,nan,3,25.0,4,"5 anos atrás o pão de queijo é delicioso, com café ainda melhor! /",66
Cristina Maurano,5.0/5,,"9 meses atrás Refeição no local  /  Café da manhã  /  R$ 40–60 Delicioso café, com o melhor mil folhas ! Preço justo. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Coxa Creme  /",cristina maurano,16,5.0/5,5,nan,3,"9 meses atrás refeição no local / café da manhã / r$ 40–60 delicioso café, com o melhor mil folhas ! preço justo. comida: 5/5 / serviço: 5/5 / ambiente: 5/5 pratos recomendados coxa creme /",189
Marta Gomes,,1725.0,"7 anos atrás Pequena, mas suficiente para um bom papo, um café gostoso, aqueles produtos gostosos e um atendimento carinhoso! Amo o pão de querido de grãos, a tartin é fantástica, o carinho de camarão, cozinha, empadinha, enfim, tudo gostoso! Tem uma linha diet aprovada pela associação de diabéticos. Vale a pena!  /",marta gomes,11,nan,3,1725.0,6,"7 anos atrás pequena, mas suficiente para um bom papo, um café gostoso, aqueles produtos gostosos e um atendimento carinhoso! amo o pão de querido de grãos, a tartin é fantástica, o carinho de camarão, cozinha, empadinha, enfim, tudo gostoso! tem uma linha diet aprovada pela associação de diabéticos. vale a pena! /",316
Yasmin B,,10.0,"5 anos atrás Possui a qualidade da rede Ofner. Mas o fato de ter mesas somente na calçada deixam a desejar. Entendo que o local seja pequeno, impedindo lugares na parte interna. Mas para uma pequena reunião nas mesas da calçada, o desconforto é grande. Há muitos ônibus passando pela Cardoso de Almeida, causando muito barulho, além de muitas pombas passando pelas mesas. Precisa-se de paciência para ser atendido. 🙏1",yasmin b,8,nan,3,10.0,4,"5 anos atrás possui a qualidade da rede ofner. mas o fato de ter mesas somente na calçada deixam a desejar. entendo que o local seja pequeno, impedindo lugares na parte interna. mas para uma pequena reunião nas mesas da calçada, o desconforto é grande. há muitos ônibus passando pela cardoso de almeida, causando muito barulho, além de muitas pombas passando pelas mesas. precisa-se de paciência para ser atendido. 🙏1",417
Marcos Pandolfi,,162.0,"2 anos atrás Adoro esse lugar. Tudo de excelente qualidade, ótimo atendimento. Frequento lá há uns 35 a 40 anos. Só está precisando dar uma ajeitada nos sanitários com mais frequência. Trocar aquela pia que está com um aspecto bem ruim, limpar com mais frequência. Mas o atendimento e a qualidade dos produtos é como sempre foi. Excelente.  /",marcos pandolfi,15,nan,3,162.0,5,"2 anos atrás adoro esse lugar. tudo de excelente qualidade, ótimo atendimento. frequento lá há uns 35 a 40 anos. só está precisando dar uma ajeitada nos sanitários com mais frequência. trocar aquela pia que está com um aspecto bem ruim, limpar com mais frequência. mas o atendimento e a qualidade dos produtos é como sempre foi. excelente. /",341
Carol Roxo,,,"4 anos atrás Muitas mudanças, talvez por causa da pandemia. Preferia antes!!! Os funcionários são ótimos, mas o layout da loja está estranho. Os salgados embora ainda saborosos estão com a aparência esqualida. 🙏1",carol roxo,10,nan,3,nan,3,"4 anos atrás muitas mudanças, talvez por causa da pandemia. preferia antes!!! os funcionários são ótimos, mas o layout da loja está estranho. os salgados embora ainda saborosos estão com a aparência esqualida. 🙏1",212
Thiago Fernandes,,21.0,4 anos atrás A torta mousse de chocolate o bolo mil folhas é maravilhoso só senti falta do red Velvet que não tinha mais no cardápio e sem previsão de retorno mas o restante excelente 🙏1  /,thiago fernandes,16,nan,3,21.0,4,4 anos atrás a torta mousse de chocolate o bolo mil folhas é maravilhoso só senti falta do red velvet que não tinha mais no cardápio e sem previsão de retorno mas o restante excelente 🙏1 /,188
Eliana Giorgi Lopes Puerta,5.0/5,,Editado 9 meses atrás Refeição no local  /  Outro  /  R$ 20–40 Sempre frequento esse lugar agradável. Me traz alegria ! Gosto muito dos doces e salgados; principalmente o doce MIL FOLHAS! O atendimento é ótimo. Pessoas atenciosas que nos servem. Parabéns por ser um lugar que me traz paz! É tudo de bom! Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Tortinha de Morango e Coxa Creme 🙏1  /,eliana giorgi lopes puerta,26,5.0/5,5,nan,3,editado 9 meses atrás refeição no local / outro / r$ 20–40 sempre frequento esse lugar agradável. me traz alegria ! gosto muito dos doces e salgados; principalmente o doce mil folhas! o atendimento é ótimo. pessoas atenciosas que nos servem. parabéns por ser um lugar que me traz paz! é tudo de bom! comida: 5/5 / serviço: 5/5 / ambiente: 5/5 pratos recomendados tortinha de morango e coxa creme 🙏1 /,400
Rodrigo Clemente,,1025.0,"5 anos atrás Sempre muito bom, pra tomar café e relaxar",rodrigo clemente,16,nan,3,1025.0,6,"5 anos atrás sempre muito bom, pra tomar café e relaxar",55
Marcelo Quaiatti,,136.0,"4 anos atrás Vim dois dias seguidos aqui, mas não venho mais. O Wi-Fi não funcionou nenhum dia. No 1o dia nao tinha aguia gelada, no 2o a agua veio congelada, eu reclamei e me deram uma agua quente. Pedi uma soremesa e tive que comer com a mão pos não me deram talheres. Depois as pessoas reclamam que os negocios estão indo mal. 🙏2",marcelo quaiatti,16,nan,3,136.0,5,"4 anos atrás vim dois dias seguidos aqui, mas não venho mais. o wi-fi não funcionou nenhum dia. no 1o dia nao tinha aguia gelada, no 2o a agua veio congelada, eu reclamei e me deram uma agua quente. pedi uma soremesa e tive que comer com a mão pos não me deram talheres. depois as pessoas reclamam que os negocios estão indo mal. 🙏2",332
luiz mori,,,"3 anos atrás Todas as vezes q vou p tomar um café , sou abordado , intimidado pelos pedintes( ameaçam). Será q não é possível colocar uma pessoa para não nós incomodarem? Quanto a loja tudo perfeito. Att 🙏5  /",luiz mori,9,nan,3,nan,3,"3 anos atrás todas as vezes q vou p tomar um café , sou abordado , intimidado pelos pedintes( ameaçam). será q não é possível colocar uma pessoa para não nós incomodarem? quanto a loja tudo perfeito. att 🙏5 /",208
Gisele A.,,,"2 anos atrás Os produtos são ótimos, mas os funcionários do atendimento péssimos. Te ignoram e demoram muito pra atender. Perguntei a um atendente se ele estava atendendo e o mesmo disse não e ficou batendo papo com outro funcionário sem fazer nada na entrada da loja, em plena tarde. Não voltarei 🙏3  /",gisele a.,9,nan,3,nan,3,"2 anos atrás os produtos são ótimos, mas os funcionários do atendimento péssimos. te ignoram e demoram muito pra atender. perguntei a um atendente se ele estava atendendo e o mesmo disse não e ficou batendo papo com outro funcionário sem fazer nada na entrada da loja, em plena tarde. não voltarei 🙏3 /",302
Moira Monteiro,,4.0,"4 anos atrás Péssimo doce mil folhas, fiquei decepcionada, massa grossa, pesada e o recheio parecia ser industrializado. As lojas de Pinheiros e Perdizes são totalmente diferentes, maravilhosos os doces, pensei que o padrão fosse o mesmo, me enganei. 🙏1",moira monteiro,14,nan,3,4.0,3,"4 anos atrás péssimo doce mil folhas, fiquei decepcionada, massa grossa, pesada e o recheio parecia ser industrializado. as lojas de pinheiros e perdizes são totalmente diferentes, maravilhosos os doces, pensei que o padrão fosse o mesmo, me enganei. 🙏1",253
Max Reichhardt,,7.0,"8 anos atrás Sem estrelas. Saí ofendido da loja por ter pedido mais um copinho de água (daquele que acompanha o cafezinho) e me foi recusado, por orientação da empresa. Mesmo sendo cliente quase que diário, e fiz sim consumo de dois cafés e como sempre acompanhado de dois salgados. Para mim a recusa de um copinho de água me soou como ofensa. Por isso não volto mais nessa loja, e nenhuma outra desta rede. 🙏1  /",max reichhardt,14,nan,3,7.0,3,"8 anos atrás sem estrelas. saí ofendido da loja por ter pedido mais um copinho de água (daquele que acompanha o cafezinho) e me foi recusado, por orientação da empresa. mesmo sendo cliente quase que diário, e fiz sim consumo de dois cafés e como sempre acompanhado de dois salgados. para mim a recusa de um copinho de água me soou como ofensa. por isso não volto mais nessa loja, e nenhuma outra desta rede. 🙏1 /",412
J B,,872.0,"7 anos atrás Serviço atencioso, salgados e doces de boa qualidade. Café com leite e croissant excelente. Doce Citron maravilhoso.Preço um pouco elevado.Nesta unidade anheiro limpo, mas deteriorado. O teto na fachada precisa de reforma urgente. 🙏2  /",j b,3,nan,3,872.0,5,"7 anos atrás serviço atencioso, salgados e doces de boa qualidade. café com leite e croissant excelente. doce citron maravilhoso.preço um pouco elevado.nesta unidade anheiro limpo, mas deteriorado. o teto na fachada precisa de reforma urgente. 🙏2 /",248
Leopoldo Burda,,382.0,"6 anos atrás Lugar muito agradável e com atendimento exemplar. Muito bom para parar e tomar um bom café, provar diversos tipos de chocolates, doces bem elaborados e bem feitos. Local convidativo para uma boa conversa ou reunião. Preço dentro do esperado comparado com as outras lojas de chocolates. Recomendo.  /",leopoldo burda,14,nan,3,382.0,5,"6 anos atrás lugar muito agradável e com atendimento exemplar. muito bom para parar e tomar um bom café, provar diversos tipos de chocolates, doces bem elaborados e bem feitos. local convidativo para uma boa conversa ou reunião. preço dentro do esperado comparado com as outras lojas de chocolates. recomendo. /",311
Manuel Tak,,209.0,3 anos atrás Os atendentes são mto simpáticos e prontos para servir e a qualidade dos produtos são de mto boa qualidade. As mesas expostas na parte externa deixa o ambiente maia descontraído e ficamos mais a vontade para desestressar o dia a dia. 🙏1  /,manuel tak,10,nan,3,209.0,5,3 anos atrás os atendentes são mto simpáticos e prontos para servir e a qualidade dos produtos são de mto boa qualidade. as mesas expostas na parte externa deixa o ambiente maia descontraído e ficamos mais a vontade para desestressar o dia a dia. 🙏1 /,251
Eva,,,um ano atrás Super desapontada com a qualidade do café...mto ruim...mto amargo. Sugiro que troquem de marca !  /,eva,3,nan,3,nan,3,um ano atrás super desapontada com a qualidade do café...mto ruim...mto amargo. sugiro que troquem de marca ! /,111
Beth Arias,,16.0,"7 anos atrás Eles não fritam coxinhas quando acaba o que tem na vitrine ou assam mais pães de queijo, ai tem que comer o que tem disponível, isso é um problema de gestão e qualidade no atendimento. Num sábado às 21h sem coxinha sendo que funcionam até às 23h é perda de venda...  /",beth arias,10,nan,3,16.0,4,"7 anos atrás eles não fritam coxinhas quando acaba o que tem na vitrine ou assam mais pães de queijo, ai tem que comer o que tem disponível, isso é um problema de gestão e qualidade no atendimento. num sábado às 21h sem coxinha sendo que funcionam até às 23h é perda de venda... /",280
Dilma Vicari,,,"um ano atrás Estava a procura de um presente e fui na Ofner, onde o Vinícius montou um presente personalizado e incrível para mim. O Vinícius foi super atencioso e diferenciado! Fez toda a diferença e me ajudou!  /",dilma vicari,12,nan,3,nan,3,"um ano atrás estava a procura de um presente e fui na ofner, onde o vinícius montou um presente personalizado e incrível para mim. o vinícius foi super atencioso e diferenciado! fez toda a diferença e me ajudou! /",213
Emilen Moura,,218.0,"3 anos atrás Lugar que amamos para adoçar o dia! Atendimento muito bom, os doces são divinos, os bolos também. Tudo com muita qualidade e requinte. Os chocolates são incríveis, vale muito a pena uma parada por lá. 🙏3  /",emilen moura,12,nan,3,218.0,5,"3 anos atrás lugar que amamos para adoçar o dia! atendimento muito bom, os doces são divinos, os bolos também. tudo com muita qualidade e requinte. os chocolates são incríveis, vale muito a pena uma parada por lá. 🙏3 /",218
Brunna Feix,,,um ano atrás Amo tudo da ofner… mas estou decepcionada com a coxinha de camarão… só tinha o rabo do camarão. O restante do recheio era de frango!  /,brunna feix,11,nan,3,nan,3,um ano atrás amo tudo da ofner… mas estou decepcionada com a coxinha de camarão… só tinha o rabo do camarão. o restante do recheio era de frango! /,147
Dario Ferreir Junior,,,4 meses atrás Os doces são excelentes  /,dario ferreir junior,20,nan,3,nan,3,4 meses atrás os doces são excelentes /,39
Rubens Oliveira,,14.0,"6 anos atrás Falta de Wifi em praticamente toda a Rede Ofner.... está ficando chato... a loja de perdizes é a 4ª loja que vou que ou o Wifi não está funcionando, ou não tem uma rede destinada à clientes.... As vezes precisamos parar para enviar um e-mail ou outra coisa, e a Ofner deveria ser um lugar confiável para isso... devido à este problema, que me parece generalizado, nunca mais piso em outra Ofner...  /",rubens oliveira,15,nan,3,14.0,4,"6 anos atrás falta de wifi em praticamente toda a rede ofner.... está ficando chato... a loja de perdizes é a 4ª loja que vou que ou o wifi não está funcionando, ou não tem uma rede destinada à clientes.... as vezes precisamos parar para enviar um e-mail ou outra coisa, e a ofner deveria ser um lugar confiável para isso... devido à este problema, que me parece generalizado, nunca mais piso em outra ofner... /",412
Carlos Seabra,,45.0,"9 anos atrás Local simpático com mesas e cadeiras ao ar livre, num trecho bonito de Perdizes. Tirando a eventual dificuldade de estacionar quando o lugar está bem cheio (mas normalmente é facílimo), é uma ótima pedida para tomar algo e comer doces bem variados, inclusive comopções sem adição de açúcar.  /",carlos seabra,13,nan,3,45.0,4,"9 anos atrás local simpático com mesas e cadeiras ao ar livre, num trecho bonito de perdizes. tirando a eventual dificuldade de estacionar quando o lugar está bem cheio (mas normalmente é facílimo), é uma ótima pedida para tomar algo e comer doces bem variados, inclusive comopções sem adição de açúcar. /",305
Rejane Do Rêgo Monteiro,,2.0,"5 anos atrás Amo esse lugar. Sou vidrada na empadinha de palmito (empadinha mesmo, porque é bem pequena) é também amo o sorvete diet de côco. E a peculiaridade das mesas na calçada é um charme de um bem estar tremendo!",rejane do rêgo monteiro,23,nan,3,2.0,3,"5 anos atrás amo esse lugar. sou vidrada na empadinha de palmito (empadinha mesmo, porque é bem pequena) é também amo o sorvete diet de côco. e a peculiaridade das mesas na calçada é um charme de um bem estar tremendo!",218
L. N.,,39.0,"2 anos atrás Atendimento lento, sem vontade, quase te ignoram. Os produtos são bons. Mas não vou voltar, tem muitas outras opções na região. 🙏2  /",l. n.,5,nan,3,39.0,4,"2 anos atrás atendimento lento, sem vontade, quase te ignoram. os produtos são bons. mas não vou voltar, tem muitas outras opções na região. 🙏2 /",145
Filipe Giesbrecht,,16.0,"7 anos atrás Doces sempre bons, salgados apenas razoáveis. Mais uma marca cara pela fama. No caso desta de Perdizes, é bem agradável pois tem uma varanda muito gostosa.  /",filipe giesbrecht,17,nan,3,16.0,4,"7 anos atrás doces sempre bons, salgados apenas razoáveis. mais uma marca cara pela fama. no caso desta de perdizes, é bem agradável pois tem uma varanda muito gostosa. /",170
Vanessa Alves,,,"·1 foto Editado 2 anos atrás Atendimento muito ruim, pior Ofner que já fui. Funcionários não atendem nas mesas, fingem que não te vêem e etc.. os produtos são bons, como todas as ofners, mas não compensa o desgaste pelo mau atendimento 🙏1  /",vanessa alves,13,nan,3,nan,3,"·1 foto editado 2 anos atrás atendimento muito ruim, pior ofner que já fui. funcionários não atendem nas mesas, fingem que não te vêem e etc.. os produtos são bons, como todas as ofners, mas não compensa o desgaste pelo mau atendimento 🙏1 /",240
Maria Alice Carnevalli,4.0/5,,"um ano atrás Refeição no local  /  Outro  /  R$ 80–100 Tem alimentos muito bons, mas os preços são exorbitantes. Todos os itens são caros. Comida: 4/5  /  Serviço: 4/5  /  Ambiente: 4/5  /",maria alice carnevalli,22,4.0/5,5,nan,3,"um ano atrás refeição no local / outro / r$ 80–100 tem alimentos muito bons, mas os preços são exorbitantes. todos os itens são caros. comida: 4/5 / serviço: 4/5 / ambiente: 4/5 /",179
Mariano Martins,,,"4 anos atrás O café é tenebroso: tome ele depois de comer os deliciosos doces da casa, e tudo que você vai sentir é um gosto de queimado, de cinzas - como se você tivesse comido as cinzas de um cigarro. Venha para os doces, que seguem deliciosos. Mas se mantenha LONGE do tenebroso café! 🙏2  /",mariano martins,15,nan,3,nan,3,"4 anos atrás o café é tenebroso: tome ele depois de comer os deliciosos doces da casa, e tudo que você vai sentir é um gosto de queimado, de cinzas - como se você tivesse comido as cinzas de um cigarro. venha para os doces, que seguem deliciosos. mas se mantenha longe do tenebroso café! 🙏2 /",292
Adenir dos Santos fabiano (Nofrinho Motorista),,,6 anos atrás Os obstáculos para a realização de saborear os doces é transponiveis. Desde que sabiamente você pode degustar um prazeroso doces. Ofner é a matéria em questão de modernização nos doces. Trazendo até você o que há de melhor qualidade em doces. Procurando sempre a inovação com maestria divinamente voltada para oferecer o melhor. E sempre de portas abertas para você e sua família e amigos. Quando você estiver passeando é interessante conhecer a Ofner. Em 12/07/2019 as 16:11 Sexta feira Nofrinho Motorista  /  Giovana Local Guide·1.495 avaliações·5196 fotos 5 anos atrás café e doces padrão Ofner e atendimento excelente  /,adenir dos santos fabiano (nofrinho motorista),46,nan,3,nan,3,6 anos atrás os obstáculos para a realização de saborear os doces é transponiveis. desde que sabiamente você pode degustar um prazeroso doces. ofner é a matéria em questão de modernização nos doces. trazendo até você o que há de melhor qualidade em doces. procurando sempre a inovação com maestria divinamente voltada para oferecer o melhor. e sempre de portas abertas para você e sua família e amigos. quando você estiver passeando é interessante conhecer a ofner. em 12/07/2019 as 16:11 sexta feira nofrinho motorista / giovana local guide·1.495 avaliações·5196 fotos 5 anos atrás café e doces padrão ofner e atendimento excelente /,634
Marcelo Amaral,,,"7 anos atrás Atendentes prestativos. Bom café, maravilhosa torta de morango e fantástico mil folhas. Porém, quase não tem lugares para se sentar, o que acho péssimo.  /",marcelo amaral,14,nan,3,nan,3,"7 anos atrás atendentes prestativos. bom café, maravilhosa torta de morango e fantástico mil folhas. porém, quase não tem lugares para se sentar, o que acho péssimo. /",167
Vera Max,,2.0,"um ano atrás Não adianta. Essa loja está fadada a fechar. Gente mal educada para atender, com mau humor. Essa empresa não tem futuro. 🙏1  /",vera max,8,nan,3,2.0,3,"um ano atrás não adianta. essa loja está fadada a fechar. gente mal educada para atender, com mau humor. essa empresa não tem futuro. 🙏1 /",138
Laura Laura,,125.0,"2 anos atrás Amei, fui atendida pelo Vinícius me deu sugestões deliciosas, nota 10 de atendimento. Parabéns, Vinicius e toda a equipe.  /",laura laura,11,nan,3,125.0,5,"2 anos atrás amei, fui atendida pelo vinícius me deu sugestões deliciosas, nota 10 de atendimento. parabéns, vinicius e toda a equipe. /",136
Lucilia Aguiar de Souza,,,"7 anos atrás Muito bom como toda Ofner,único inconveniente é que bateu 22:45 horas começam a recolher mesas e cadeiras para dentro da loja,ficando na obrigação de me levantar!! Entendo que os funcionários querem ir embora,pois já cumpriram o horário de trabalho,mas é bem desagradável!!!Ofner da rua Caiubi.  /",lucilia aguiar de souza,23,nan,3,nan,3,"7 anos atrás muito bom como toda ofner,único inconveniente é que bateu 22:45 horas começam a recolher mesas e cadeiras para dentro da loja,ficando na obrigação de me levantar!! entendo que os funcionários querem ir embora,pois já cumpriram o horário de trabalho,mas é bem desagradável!!!ofner da rua caiubi. /",309
Flavia Cristina,,,"12 anos atrás Em 01/06/13, comprei 3 bombas de chocolate ( Eclair) na Ofner de Perdizes e para o meu espanto havia um FIO DE CABELO ENORME LOIRO NO MEIO DE UM DOS DOCES. Agora preciso de tempo para devolver os 3 doces para eles e solicitar o meu dinheiro de volta. É lamentável isso acontecer. Eu ERA cliente da Ofner e sempre adorei os produtos, embora o preço seja bem alto.  /",flavia cristina,15,nan,3,nan,3,"12 anos atrás em 01/06/13, comprei 3 bombas de chocolate ( eclair) na ofner de perdizes e para o meu espanto havia um fio de cabelo enorme loiro no meio de um dos doces. agora preciso de tempo para devolver os 3 doces para eles e solicitar o meu dinheiro de volta. é lamentável isso acontecer. eu era cliente da ofner e sempre adorei os produtos, embora o preço seja bem alto. /",378
Silvana Vasconcelos,4.3/5,49.0,um ano atrás Refeição no local  /  Outro  /  R$ 80–100 Muito agradável apesar do frio. Foi nos oferecido mantas para nos aquecer um mimo. Comida: 4/5  /  Serviço: 5/5  /  Ambiente: 4/5  /,silvana vasconcelos,19,4.3/5,5,49.0,4,um ano atrás refeição no local / outro / r$ 80–100 muito agradável apesar do frio. foi nos oferecido mantas para nos aquecer um mimo. comida: 4/5 / serviço: 5/5 / ambiente: 4/5 /,178
Lucas Otto,,222.0,"7 anos atrás Confeitaria tradicional com opções saborosas de doces, bom café e atendimento atencioso. Valores um pouco altos. Nessa unidade de esquina, procure vagas na própria rua, não há estrutura para estacionar 🙏1  /",lucas otto,10,nan,3,222.0,5,"7 anos atrás confeitaria tradicional com opções saborosas de doces, bom café e atendimento atencioso. valores um pouco altos. nessa unidade de esquina, procure vagas na própria rua, não há estrutura para estacionar 🙏1 /",219
Flavio Gaiarsa,,22.0,"3 anos atrás Compramos um bolo de sorvete o que é um predileto em nossa casa Mas também fios de ovos que em geral são muito bons, mas dessa vez estava um pouco seco  /",flavio gaiarsa,14,nan,3,22.0,4,"3 anos atrás compramos um bolo de sorvete o que é um predileto em nossa casa mas também fios de ovos que em geral são muito bons, mas dessa vez estava um pouco seco /",166
Maria Ligia Holanda Rolim,,,"3 anos atrás Sempre gostei dos doces e salgados da ofner, mas hoje comprei 2 coxinhas de camarão e de camarão só tinham o rabo!!!fiquei chateada com medo que a ofner perca a qualidade!!!😔 🙏2  /",maria ligia holanda rolim,25,nan,3,nan,3,"3 anos atrás sempre gostei dos doces e salgados da ofner, mas hoje comprei 2 coxinhas de camarão e de camarão só tinham o rabo!!!fiquei chateada com medo que a ofner perca a qualidade!!!😔 🙏2 /",192
Geraldo Faria,,77.0,"Editado 5 anos atrás Já foi uma ótima opção para docinhos, salgadinhos e tortas doces e salgadas... Hoje fica um bocado a desejar, tanto ma qualidade das comidas como nos altos preços cobrados e também no atendimento...  /",geraldo faria,13,nan,3,77.0,4,"editado 5 anos atrás já foi uma ótima opção para docinhos, salgadinhos e tortas doces e salgadas... hoje fica um bocado a desejar, tanto ma qualidade das comidas como nos altos preços cobrados e também no atendimento... /",221
Andrea Hennrichs,5.0/5,209.0,"Editado um ano atrás Refeição no local  /  Almoço  /  R$ 80–100 Show! Frequento a muitos anos. Com a mudança no cardápio: saladas, omeletes, etc..., ficou ainda mais delicioso. Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Coxa Creme e Pâtisserie  /",andrea hennrichs,16,5.0/5,5,209.0,5,"editado um ano atrás refeição no local / almoço / r$ 80–100 show! frequento a muitos anos. com a mudança no cardápio: saladas, omeletes, etc..., ficou ainda mais delicioso. comida: 5/5 / serviço: 5/5 / ambiente: 5/5 pratos recomendados coxa creme e pâtisserie /",261
Danilo José Reis,,,"4 anos atrás Péssima! Local cheio, poucos atendentes...esperamos em uma suja, com restos de Alimentos e utensílios de clientes anteriores. Os atendentes não vieram limpar a mesa e muito menos tirar o pedido. Fomos em embora sem ser atendidos",danilo josé reis,16,nan,3,nan,3,"4 anos atrás péssima! local cheio, poucos atendentes...esperamos em uma suja, com restos de alimentos e utensílios de clientes anteriores. os atendentes não vieram limpar a mesa e muito menos tirar o pedido. fomos em embora sem ser atendidos",241
